P=2.0 I=0.0 D=0.0
Time,Temperature
2019-11-25 18:57:33,28.01
2019-11-25 18:57:38,28.05
2019-11-25 18:57:40,28.08
2019-11-25 18:57:42,28.11
2019-11-25 18:57:45,28.14
2019-11-25 18:57:47,28.17
2019-11-25 18:57:49,28.21
2019-11-25 18:57:51,28.25
2019-11-25 18:57:53,28.3
2019-11-25 18:57:56,28.35
2019-11-25 18:57:58,28.4
2019-11-25 18:58:00,28.45
2019-11-25 18:58:02,28.51
2019-11-25 18:58:04,28.57
2019-11-25 18:58:07,28.63
2019-11-25 18:58:09,28.7
2019-11-25 18:58:11,28.77
2019-11-25 18:58:13,28.84
2019-11-25 18:58:15,28.91
2019-11-25 18:58:18,28.99
2019-11-25 18:58:20,29.07
2019-11-25 18:58:22,29.15
2019-11-25 18:58:24,29.23
2019-11-25 18:58:26,29.32
2019-11-25 18:58:29,29.41
2019-11-25 18:58:31,29.49
2019-11-25 18:58:33,29.58
2019-11-25 18:58:35,29.68
2019-11-25 18:58:37,29.77
2019-11-25 18:58:40,29.87
2019-11-25 18:58:42,29.96
2019-11-25 18:58:44,30.06
2019-11-25 18:58:46,30.16
2019-11-25 18:58:49,30.26
2019-11-25 18:58:51,30.36
2019-11-25 18:58:53,30.47
2019-11-25 18:58:55,30.57
2019-11-25 18:58:57,30.67
2019-11-25 18:59:00,30.78
2019-11-25 18:59:02,30.88
2019-11-25 18:59:04,30.98
2019-11-25 18:59:06,31.09
2019-11-25 18:59:08,31.2
2019-11-25 18:59:11,31.3
2019-11-25 18:59:13,31.41
2019-11-25 18:59:15,31.51
2019-11-25 18:59:17,31.61
2019-11-25 18:59:19,31.71
2019-11-25 18:59:22,31.81
2019-11-25 18:59:24,31.91
2019-11-25 18:59:26,32.01
2019-11-25 18:59:28,32.1
2019-11-25 18:59:30,32.19
2019-11-25 18:59:33,32.28
2019-11-25 18:59:35,32.37
2019-11-25 18:59:37,32.45
2019-11-25 18:59:39,32.53
2019-11-25 18:59:41,32.61
2019-11-25 18:59:44,32.69
2019-11-25 18:59:46,32.76
2019-11-25 18:59:48,32.83
2019-11-25 18:59:50,32.91
2019-11-25 18:59:52,32.97
2019-11-25 18:59:54,33.03
2019-11-25 18:59:57,33.1
2019-11-25 18:59:59,33.15
2019-11-25 19:00:01,33.2
2019-11-25 19:00:03,33.25
2019-11-25 19:00:05,33.3
2019-11-25 19:00:08,33.33
2019-11-25 19:00:10,33.37
2019-11-25 19:00:12,33.41
2019-11-25 19:00:14,33.44
2019-11-25 19:00:16,33.47
2019-11-25 19:00:18,33.49
2019-11-25 19:00:21,33.51
2019-11-25 19:00:23,33.53
2019-11-25 19:00:25,33.55
2019-11-25 19:00:27,33.57
2019-11-25 19:00:29,33.58
2019-11-25 19:00:32,33.59
2019-11-25 19:00:34,33.59
2019-11-25 19:00:36,33.6
2019-11-25 19:00:38,33.6
2019-11-25 19:00:40,33.6
2019-11-25 19:00:42,33.59
2019-11-25 19:00:45,33.58
2019-11-25 19:00:47,33.58
2019-11-25 19:00:49,33.57
2019-11-25 19:00:51,33.56
2019-11-25 19:00:53,33.55
2019-11-25 19:00:56,33.53
2019-11-25 19:00:58,33.52
2019-11-25 19:01:00,33.5
2019-11-25 19:01:02,33.48
2019-11-25 19:01:04,33.47
2019-11-25 19:01:07,33.45
2019-11-25 19:01:09,33.43
2019-11-25 19:01:11,33.41
2019-11-25 19:01:13,33.39
2019-11-25 19:01:15,33.37
2019-11-25 19:01:17,33.35
2019-11-25 19:01:20,33.32
2019-11-25 19:01:22,33.3
2019-11-25 19:01:24,33.27
2019-11-25 19:01:26,33.25
2019-11-25 19:01:28,33.22
2019-11-25 19:01:31,33.2
2019-11-25 19:01:33,33.17
2019-11-25 19:01:35,33.15
2019-11-25 19:01:37,33.12
2019-11-25 19:01:39,33.09
2019-11-25 19:01:41,33.07
2019-11-25 19:01:44,33.04
2019-11-25 19:01:46,33.01
2019-11-25 19:01:48,32.99
2019-11-25 19:01:50,32.96
2019-11-25 19:01:52,32.93
2019-11-25 19:01:54,32.91
2019-11-25 19:01:57,32.88
2019-11-25 19:01:59,32.86
2019-11-25 19:02:01,32.83
2019-11-25 19:02:03,32.81
2019-11-25 19:02:05,32.78
2019-11-25 19:02:08,32.75
2019-11-25 19:02:10,32.73
2019-11-25 19:02:12,32.7
2019-11-25 19:02:14,32.68
2019-11-25 19:02:16,32.65
2019-11-25 19:02:18,32.63
2019-11-25 19:02:21,32.61
2019-11-25 19:02:23,32.58
2019-11-25 19:02:25,32.56
2019-11-25 19:02:27,32.54
2019-11-25 19:02:29,32.52
2019-11-25 19:02:32,32.5
