P= I= D=
Time,Temperature
2019-11-25 19:25:42,31.8
2019-11-25 19:25:44,31.8
2019-11-25 19:25:47,31.8
2019-11-25 19:25:49,31.8
2019-11-25 19:25:51,31.8
2019-11-25 19:25:53,31.8
2019-11-25 19:25:55,31.8
2019-11-25 19:25:58,31.8
2019-11-25 19:26:00,31.8
2019-11-25 19:26:02,31.8
2019-11-25 19:26:04,31.78
2019-11-25 19:26:06,31.78
2019-11-25 19:26:09,31.77
2019-11-25 19:26:11,31.75
2019-11-25 19:26:13,31.73
2019-11-25 19:26:15,31.72
2019-11-25 19:26:17,31.7
2019-11-25 19:26:20,31.68
2019-11-25 19:26:22,31.66
2019-11-25 19:26:24,31.64
2019-11-25 19:26:26,31.62
2019-11-25 19:26:29,31.6
2019-11-25 19:26:31,31.57
2019-11-25 19:26:33,31.55
2019-11-25 19:26:35,31.52
2019-11-25 19:26:37,31.5
2019-11-25 19:26:40,31.47
2019-11-25 19:26:42,31.44
2019-11-25 19:26:44,31.42
2019-11-25 19:26:46,31.39
2019-11-25 19:26:48,31.36
2019-11-25 19:26:51,31.33
2019-11-25 19:26:53,31.3
2019-11-25 19:26:55,31.27
2019-11-25 19:26:57,31.25
2019-11-25 19:26:59,31.22
2019-11-25 19:27:02,31.19
2019-11-25 19:27:04,31.16
2019-11-25 19:27:06,31.13
2019-11-25 19:27:08,31.1
2019-11-25 19:27:10,31.07
2019-11-25 19:27:13,31.05
2019-11-25 19:27:15,31.02
2019-11-25 19:27:17,30.98
2019-11-25 19:27:19,30.96
2019-11-25 19:27:22,30.93
2019-11-25 19:27:24,30.9
2019-11-25 19:27:26,30.87
2019-11-25 19:27:28,30.85
2019-11-25 19:27:30,30.82
2019-11-25 19:27:33,30.8
2019-11-25 19:27:35,30.76
2019-11-25 19:27:37,30.74
2019-11-25 19:27:39,30.71
2019-11-25 19:27:41,30.68
2019-11-25 19:27:44,30.66
2019-11-25 19:27:46,30.63
2019-11-25 19:27:48,30.61
2019-11-25 19:27:50,30.58
2019-11-25 19:27:52,30.56
2019-11-25 19:27:55,30.53
2019-11-25 19:27:57,30.51
2019-11-25 19:27:59,30.48
2019-11-25 19:28:01,30.46
2019-11-25 19:28:03,30.43
2019-11-25 19:28:06,30.41
2019-11-25 19:28:08,30.39
2019-11-25 19:28:10,30.37
2019-11-25 19:28:12,30.34
2019-11-25 19:28:14,30.32
2019-11-25 19:28:17,30.3
2019-11-25 19:28:19,30.28
2019-11-25 19:28:21,30.26
2019-11-25 19:28:23,30.23
2019-11-25 19:28:26,30.21
2019-11-25 19:28:28,30.2
2019-11-25 19:28:30,30.17
2019-11-25 19:28:32,30.15
2019-11-25 19:28:34,30.13
2019-11-25 19:28:37,30.11
2019-11-25 19:28:39,30.1
2019-11-25 19:28:41,30.07
2019-11-25 19:28:43,30.06
2019-11-25 19:28:45,30.03
2019-11-25 19:28:48,30.02
2019-11-25 19:28:50,30.0
2019-11-25 19:28:52,29.98
2019-11-25 19:28:54,29.96
2019-11-25 19:28:56,29.95
2019-11-25 19:28:59,29.93
2019-11-25 19:29:01,29.91
2019-11-25 19:29:03,29.89
2019-11-25 19:29:05,29.87
2019-11-25 19:29:07,29.86
2019-11-25 19:29:10,29.84
2019-11-25 19:29:12,29.82
2019-11-25 19:29:14,29.81
2019-11-25 19:29:16,29.79
2019-11-25 19:29:18,29.78
2019-11-25 19:29:21,29.76
2019-11-25 19:29:23,29.75
2019-11-25 19:29:25,29.73
2019-11-25 19:29:27,29.72
2019-11-25 19:29:29,29.7
2019-11-25 19:29:32,29.69
2019-11-25 19:29:34,29.68
2019-11-25 19:29:36,29.66
2019-11-25 19:29:38,29.65
2019-11-25 19:29:40,29.64
2019-11-25 19:29:42,29.62
2019-11-25 19:29:45,29.61
2019-11-25 19:29:47,29.6
2019-11-25 19:29:49,29.58
2019-11-25 19:29:51,29.57
2019-11-25 19:29:53,29.56
2019-11-25 19:29:56,29.55
2019-11-25 19:29:58,29.55
2019-11-25 19:30:00,29.53
2019-11-25 19:30:02,29.52
2019-11-25 19:30:04,29.51
2019-11-25 19:30:06,29.5
2019-11-25 19:30:09,29.49
2019-11-25 19:30:11,29.48
2019-11-25 19:30:13,29.47
2019-11-25 19:30:15,29.46
2019-11-25 19:30:17,29.45
2019-11-25 19:30:20,29.44
2019-11-25 19:30:22,29.43
2019-11-25 19:30:24,29.42
2019-11-25 19:30:26,29.41
2019-11-25 19:30:28,29.41
2019-11-25 19:30:31,29.4
2019-11-25 19:30:33,29.39
2019-11-25 19:30:35,29.38
2019-11-25 19:30:37,29.37
2019-11-25 19:30:39,29.36
2019-11-25 19:30:42,29.36
2019-11-25 19:30:44,29.35
2019-11-25 19:30:46,29.34
2019-11-25 19:30:48,29.33
2019-11-25 19:30:50,29.32
2019-11-25 19:30:53,29.31
2019-11-25 19:30:55,29.31
2019-11-25 19:30:57,29.3
2019-11-25 19:30:59,29.3
2019-11-25 19:31:01,29.28
2019-11-25 19:31:04,29.28
2019-11-25 19:31:06,29.27
2019-11-25 19:31:08,29.26
2019-11-25 19:31:10,29.26
2019-11-25 19:31:12,29.25
2019-11-25 19:31:15,29.25
2019-11-25 19:31:17,29.24
2019-11-25 19:31:19,29.23
2019-11-25 19:31:21,29.22
2019-11-25 19:31:24,29.22
2019-11-25 19:31:26,29.21
2019-11-25 19:31:28,29.21
2019-11-25 19:31:30,29.2
2019-11-25 19:31:32,29.2
2019-11-25 19:31:35,29.19
2019-11-25 19:31:37,29.18
2019-11-25 19:31:39,29.17
2019-11-25 19:31:41,29.17
2019-11-25 19:31:43,29.17
2019-11-25 19:31:46,29.16
2019-11-25 19:31:48,29.16
2019-11-25 19:31:50,29.15
2019-11-25 19:31:52,29.15
2019-11-25 19:31:54,29.14
2019-11-25 19:31:57,29.13
2019-11-25 19:31:59,29.13
2019-11-25 19:32:01,29.12
2019-11-25 19:32:03,29.12
2019-11-25 19:32:05,29.11
2019-11-25 19:32:07,29.11
2019-11-25 19:32:10,29.1
2019-11-25 19:32:12,29.1
2019-11-25 19:32:14,29.1
2019-11-25 19:32:16,29.08
2019-11-25 19:32:18,29.08
2019-11-25 19:32:21,29.08
2019-11-25 19:32:23,29.07
2019-11-25 19:32:25,29.07
2019-11-25 19:32:27,29.06
2019-11-25 19:32:29,29.06
2019-11-25 19:32:31,29.05
2019-11-25 19:32:34,29.05
2019-11-25 19:32:36,29.04
2019-11-25 19:32:38,29.04
2019-11-25 19:32:40,29.03
2019-11-25 19:32:42,29.03
2019-11-25 19:32:45,29.02
2019-11-25 19:32:47,29.02
2019-11-25 19:32:49,29.02
2019-11-25 19:32:51,29.01
2019-11-25 19:32:53,29.01
2019-11-25 19:32:56,29.0
2019-11-25 19:32:58,29.0
2019-11-25 19:33:00,28.99
2019-11-25 19:33:02,28.99
2019-11-25 19:33:04,28.98
2019-11-25 19:33:06,28.98
2019-11-25 19:33:09,28.97
2019-11-25 19:33:11,28.97
2019-11-25 19:33:13,28.97
2019-11-25 19:33:15,28.96
2019-11-25 19:33:17,28.96
2019-11-25 19:33:20,28.96
2019-11-25 19:33:22,28.95
2019-11-25 19:33:24,28.95
2019-11-25 19:33:26,28.94
2019-11-25 19:33:28,28.93
2019-11-25 19:33:31,28.93
2019-11-25 19:33:33,28.93
2019-11-25 19:33:35,28.92
2019-11-25 19:33:37,28.92
2019-11-25 19:33:39,28.92
2019-11-25 19:33:42,28.91
2019-11-25 19:33:44,28.91
2019-11-25 19:33:46,28.91
2019-11-25 19:33:48,28.9
2019-11-25 19:33:50,28.9
2019-11-25 19:33:53,28.9
2019-11-25 19:33:55,28.89
2019-11-25 19:33:57,28.88
2019-11-25 19:33:59,28.88
2019-11-25 19:34:01,28.88
2019-11-25 19:34:04,28.87
2019-11-25 19:34:06,28.87
2019-11-25 19:34:08,28.87
2019-11-25 19:34:10,28.86
2019-11-25 19:34:12,28.86
2019-11-25 19:34:15,28.86
2019-11-25 19:34:17,28.85
2019-11-25 19:34:19,28.85
2019-11-25 19:34:21,28.84
2019-11-25 19:34:24,28.84
2019-11-25 19:34:26,28.83
2019-11-25 19:34:28,28.83
2019-11-25 19:34:30,28.83
2019-11-25 19:34:32,28.82
2019-11-25 19:34:35,28.82
2019-11-25 19:34:37,28.82
2019-11-25 19:34:39,28.81
2019-11-25 19:34:41,28.81
2019-11-25 19:34:43,28.81
2019-11-25 19:34:45,28.81
2019-11-25 19:34:48,28.8
2019-11-25 19:34:50,28.8
2019-11-25 19:34:52,28.8
2019-11-25 19:34:54,28.79
2019-11-25 19:34:57,28.79
2019-11-25 19:34:59,28.78
2019-11-25 19:35:01,28.78
2019-11-25 19:35:03,28.78
2019-11-25 19:35:05,28.77
2019-11-25 19:35:08,28.77
2019-11-25 19:35:10,28.77
2019-11-25 19:35:12,28.76
2019-11-25 19:35:14,28.76
2019-11-25 19:35:16,28.76
2019-11-25 19:35:19,28.75
2019-11-25 19:35:21,28.75
2019-11-25 19:35:23,28.75
2019-11-25 19:35:25,28.74
2019-11-25 19:35:27,28.74
2019-11-25 19:35:30,28.73
2019-11-25 19:35:32,28.73
2019-11-25 19:35:34,28.73
2019-11-25 19:35:36,28.73
2019-11-25 19:35:38,28.72
2019-11-25 19:35:41,28.72
2019-11-25 19:35:43,28.71
2019-11-25 19:35:45,28.71
2019-11-25 19:35:47,28.71
2019-11-25 19:35:49,28.71
2019-11-25 19:35:51,28.7
2019-11-25 19:35:54,28.7
2019-11-25 19:35:56,28.7
2019-11-25 19:35:58,28.7
2019-11-25 19:36:00,28.69
2019-11-25 19:36:02,28.69
2019-11-25 19:36:05,28.68
2019-11-25 19:36:07,28.68
2019-11-25 19:36:09,28.68
2019-11-25 19:36:11,28.67
2019-11-25 19:36:13,28.67
2019-11-25 19:36:15,28.67
2019-11-25 19:36:18,28.67
2019-11-25 19:36:20,28.67
2019-11-25 19:36:22,28.66
2019-11-25 19:36:24,28.66
2019-11-25 19:36:26,28.66
2019-11-25 19:36:29,28.66
2019-11-25 19:36:31,28.65
2019-11-25 19:36:33,28.65
2019-11-25 19:36:35,28.65
2019-11-25 19:36:37,28.65
2019-11-25 19:36:39,28.64
2019-11-25 19:36:42,28.64
2019-11-25 19:36:44,28.63
2019-11-25 19:36:46,28.63
2019-11-25 19:36:48,28.63
2019-11-25 19:36:50,28.62
2019-11-25 19:36:53,28.62
2019-11-25 19:36:55,28.62
2019-11-25 19:36:57,28.62
2019-11-25 19:36:59,28.62
2019-11-25 19:37:01,28.61
2019-11-25 19:37:04,28.61
2019-11-25 19:37:06,28.61
2019-11-25 19:37:08,28.61
2019-11-25 19:37:10,28.6
2019-11-25 19:37:12,28.6
2019-11-25 19:37:14,28.6
2019-11-25 19:37:17,28.6
2019-11-25 19:37:19,28.6
